name;supplier;category;subcategory;reference;oem_reference;part_brand;price;quantity;delivery_time;vehicle_make;vehicle_model;year_start;year_end;engine;engine_number;viscosity;engine_type;volume_liters;specification;interval_km;description;synonyms;image_url;active
Lower Control Arm (R) Mitsubishi 4010A037/MR;Via Peças;part;Suspension;4010A037/MR;;;42800.0;1;Today;Mitsubishi;L200 Triton;2005;2015.0;2.5/3.2;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (L) Mitsubishi 4010A038/MR;Via Peças;part;Suspension;4010A038/MR;;;42800.0;1;Today;Mitsubishi;L200 Triton;2005;2015.0;2.5/3.2;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Ball Joint Renault/Dacia 40160-2308R;Via Peças;part;Suspension;40160-2308R;;;25000.0;1;Today;Renault/Dacia;Duster/Oroch;2011;2020.0;Various;;;;;;;Suspension;rótula suspensão inf, lower ball joint;;yes
Release Bearing Hyundai/Kia 41421-39275;Via Peças;part;Mechanical;41421-39275;;;34500.0;1;Today;Hyundai/Kia;Tucson;2004;2010.0;2.0L;;;;;;;Clutch;rolamento encosto, release bearing;;yes
Upper Ball Joint Toyota 43310-09015;Via Peças;part;Suspension;43310-09015;;;28500.0;1;Today;Toyota;Hilux;2005;2015.0;Various;;;;;;;Front;rótula suspensão sup, upper ball joint;;yes
Lower Ball Joint Toyota 43330-09510;Via Peças;part;Suspension;43330-09510;;;26800.0;1;Today;Toyota;Hilux/Prado;2002;2015.0;Various;;;;;;;Front;rótula suspensão inf, lower ball joint;;yes
Lower Ball Joint Toyota 43330-29565;Via Peças;part;Suspension;43330-29565;;;18700.0;1;Today;Toyota;Hiace;1996;2004.0;Various;;;;;;;Front;rótula suspensão inf, lower ball joint;;yes
Brake Disc Toyota 43512-0K060;Via Peças;part;Brakes;43512-0K060;;;52500.0;1;Today;Toyota;Hilux;2005;2015.0;Various;;;;;;;Vented;disco de travão, front brake disc;;yes
Brake Disc Toyota 43512-60150;Via Peças;part;Brakes;43512-60150;;;54800.0;1;Today;Toyota;Land Cruiser;1998;2007.0;4.2 TD;;;;;;;Series 100;disco de travão, front brake disc;;yes
Brake Disc Toyota 43512-60190;Via Peças;part;Brakes;43512-60190;;;65000.0;1;Today;Toyota;Prado;2002;2020.0;Various;;;;;;;Series 120/150;disco de travão, front brake disc;;yes
Tie Rod End (R) Mitsubishi 4422A037;Via Peças;part;Steering;4422A037;;;26500.0;1;Today;Mitsubishi;L200 Triton;2005;2015.0;Various;;;;;;;Outer;terminal direção (d), tie rod end (r);;yes
Tie Rod End (L) Mitsubishi 4422A038;Via Peças;part;Steering;4422A038;;;26500.0;1;Today;Mitsubishi;L200 Triton;2005;2015.0;Various;;;;;;;Outer;terminal direção (e), tie rod end (l);;yes
Tie Rod End (R) Toyota 45046-09280;Via Peças;part;Steering;45046-09280;;;22500.0;1;Today;Toyota;Hilux;2005;2015.0;Various;;;;;;;Outer;terminal direção (d), tie rod end (r);;yes
Tie Rod End (R) Toyota 45046-29456;Via Peças;part;Steering;45046-29456;;;24500.0;1;Today;Toyota;Hiace;1996;2004.0;Various;;;;;;;Outer;terminal direção (d), tie rod end (r);;yes
Tie Rod End (R) Toyota 45046-39505;Via Peças;part;Steering;45046-39505;;;25500.0;1;Today;Toyota;Hilux/Prado;1996;2004.0;Various;;;;;;;90 Series;terminal direção (d), tie rod end (r);;yes
Tie Rod End Toyota 45046-69236;Via Peças;part;Steering;45046-69236;;;37500.0;1;Today;Toyota;Land Cruiser;1998;2018.0;Various;;;;;;;Series 100/200;terminal direção, tie rod end;;yes
Tie Rod End (L) Toyota 45047-69145;Via Peças;part;Steering;45047-69145;;;37500.0;1;Today;Toyota;Land Cruiser;1998;2007.0;Various;;;;;;;Series 100;terminal direção (e), tie rod end (l);;yes
Steering Rack End Toyota 45503-09321;Via Peças;part;Steering;45503-09321;;;26800.0;1;Today;Toyota;Hilux;2005;2015.0;Various;;;;;;;Steering;axial de direção, rack end;;yes
Steering Rack End Toyota 45503-60030;Via Peças;part;Steering;45503-60030;;;26000.0;1;Today;Toyota;Land Cruiser;2002;2009.0;Various;;;;;;;Series 120;axial de direção, rack end;;yes
Front Brake Pads Mitsubishi 4605A198;Via Peças;part;Brakes;4605A198;;;27800.0;1;Today;Mitsubishi;L200 Triton;2005;2015.0;Various;;;;;;;Akebono System;pastilhas travão diant, brake pad set;;yes
Front Brake Pads Mitsubishi 4605B541/L2Y;Via Peças;part;Brakes;4605B541/L2Y;;;75500.0;1;Today;Mitsubishi;L200 Triton;2015;2023.0;Various;;;;;;;New Generation;pastilhas travão diant, brake pad set;;yes
Automatic Transmission Filter Hyundai/Kia 46321-23000;Via Peças;part;Filtration;46321-23000;;;22500.0;1;Today;Hyundai/Kia;Tucson/Elantra;2004;2012.0;2.0L;;;;;;;4 Speeds;filtro caixa auto, at filter;;yes
Automatic Transmission Filter Hyundai/Kia 46321-26000;Via Peças;part;Filtration;46321-26000;;;22500.0;1;Today;Hyundai/Kia;Santa Fe;2006;2009.0;2.7/3.3;;;;;;;4 Speeds;filtro caixa auto, at filter;;yes
Automatic Transmission Filter Hyundai/Kia 46321-39010;Via Peças;part;Filtration;46321-39010;;;26500.0;1;Today;Hyundai/Kia;Sonata/XG;1998;2005.0;V6;;;;;;;4 Speeds;filtro caixa auto, at filter;;yes
Wheel Bearing Aftermarket 46T080805;Via Peças;part;Mechanical;46T080805;;;34500.0;1;Today;Aftermarket;Various;;;;;;;;;;Industrial Ref.;rolamento roda, wheel bearing;;yes
Oil Filter Chery 480-1012010;Via Peças;lubricant;Filtration;480-1012010;;;7500.0;1;Today;Chery;QQ/Face;2006;2015.0;1.0/1.1;;15W40;Universal;1.0;;;Acteco Engine;filtro de óleo, oil filter;;yes
Lower Control Arm (R) Toyota 48068-26160;Via Peças;part;Suspension;48068-26160;;;48500.0;1;Today;Toyota;Hiace;2005;2018.0;Various;;;;;;;Front;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Toyota 48068-60030;Via Peças;part;Suspension;48068-60030;;;190000.0;1;Today;Toyota;Prado/4Runner;2002;2009.0;Series 120;;;;;;;Front;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (L) Toyota 48069-26160;Via Peças;part;Suspension;48069-26160;;;48500.0;1;Today;Toyota;Hiace;2005;2018.0;Various;;;;;;;Front;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Toyota 48069-60030;Via Peças;part;Suspension;48069-60030;;;190000.0;1;Today;Toyota;Prado/4Runner;2002;2009.0;Series 120;;;;;;;Front;braço suspensão inf (e), lower control arm (l);;yes
Rear Shock Absorber Toyota 48530-69165;Via Peças;part;Suspension;48530-69165;;;52000.0;1;Today;Toyota;Land Cruiser;2002;2009.0;Series 120;;;;;;;Diesel/Petrol;amortecedor traseiro, shock absorber rear;;yes
Upper Control Arm (R) Toyota 48610-60030;Via Peças;part;Suspension;48610-60030;;;65800.0;1;Today;Toyota;Prado/4Runner;2002;2009.0;Series 120;;;;;;;Front;braço suspensão sup (d), upper control arm (r);;yes
Bushing Suspension Toyota 48654-60030;Via Peças;part;Suspension;48654-60030;;;19800.0;1;Today;Toyota;Prado;2002;2020.0;Series 120/150;;;;;;;Lower/Front;casquilho suspensão, control arm bush;;yes
Bushing Suspension Toyota 48655-60050;Via Peças;part;Suspension;48655-60050;;;9500.0;1;Today;Toyota;Prado;2002;2020.0;Series 120/150;;;;;;;Lower/Rear;casquilho suspensão, control arm bush;;yes
Link Stabilizer Front Toyota 48810-0K030;Via Peças;part;Mechanical;48810-0K030;;;26500.0;1;Today;Toyota;Hilux;2005;2015.0;Various;;;;;;;Right/Left;pendural estabiliz diant, stabilizer link;;yes
Link Stabilizer Front Toyota 48810-60051;Via Peças;part;Mechanical;48810-60051;;;15000.0;1;Today;Toyota;Prado;2009;2021.0;Series 150;;;;;;;Front Axle;pendural estabiliz diant, stabilizer link;;yes
Rubber Stabilizer Bar Toyota 48815-0K010;Via Peças;part;Mechanical;48815-0K010;;;9800.0;1;Today;Toyota;Hilux;2005;2015.0;Various;;;;;;;Front;borracha barra estabiliz, stabilizer bush;;yes
Rubber Stabilizer Bar Toyota 48818-60040;Via Peças;part;Mechanical;48818-60040;;;9500.0;1;Today;Toyota;Prado;2002;2009.0;Series 120;;;;;;;Rear;borracha barra estabiliz, stabilizer bush;;yes
Link Stabilizer Front Toyota 48820-26050;Via Peças;part;Mechanical;48820-26050;;;24500.0;1;Today;Toyota;Hiace;2005;2018.0;Various;;;;;;;Right/Left;pendural estabiliz diant, stabilizer link;;yes
Link Stabilizer Front Toyota 48820-60071;Via Peças;part;Mechanical;48820-60071;;;15000.0;1;Today;Toyota;Prado;2002;2021.0;Series 120/150;;;;;;;Right/Left;pendural estabiliz diant, stabilizer link;;yes
Link Stabilizer Rear Toyota 48830-60030;Via Peças;part;Mechanical;48830-60030;;;25800.0;1;Today;Toyota;Prado;2002;2021.0;Series 120/150;;;;;;;Rear Axle;pendural estabiliz tras, stabilizer link rear;;yes
Transmission Front (R) Hyundai 49500-0X800;Via Peças;part;Mechanical;49500-0X800;;;90500.0;1;Today;Hyundai;i10;2008;2013.0;1.1/1.2;;;;;;;Right Side;transmissão diant (d), drive shaft (r);;yes
Transmission Front (R) Hyundai 49500-2W400;Via Peças;part;Mechanical;49500-2W400;;;180000.0;1;Today;Hyundai;Santa Fe;2013;2018.0;2.0/2.2;;;;;;;AT/4WD;transmissão diant (d), drive shaft (r);;yes
Transmission Front (R) Hyundai 49500-2W600;Via Peças;part;Mechanical;49500-2W600;;;180000.0;1;Today;Hyundai;Santa Fe;2015;2018.0;2.2 CRDi;;;;;;;Right Side;transmissão diant (d), drive shaft (r);;yes
Transmission Front (L) Hyundai 49501-2W450;Via Peças;part;Mechanical;49501-2W450;;;175000.0;1;Today;Hyundai;Santa Fe;2013;2018.0;2.0/2.2;;;;;;;Left Side;transmissão diant (e), drive shaft (l);;yes
Transmission Front (L) Hyundai 49501-2W650;Via Peças;part;Mechanical;49501-2W650;;;175000.0;1;Today;Hyundai;Santa Fe;2015;2018.0;2.2 CRDi;;;;;;;Left Side;transmissão diant (e), drive shaft (l);;yes
Piston of Engine Mitsubishi/Fuso 4D3031;Via Peças;part;Engine;4D3031;;;48000.0;1;Today;Mitsubishi/Fuso;Canter;;;4D30;;;;;;;Truck;pistão de motor, engine piston;;yes
Belt Accessories Various 4PK830;Via Peças;part;Mechanical;4PK830;;;19800.0;1;Today;Various;Toyota/Suzuki;;;;;;;;;;4PK830;correia acessórios, v-ribbed belt;;yes
Belt Accessories Various 4PK870;Via Peças;part;Mechanical;4PK870;;;19500.0;1;Today;Various;Toyota/Nissan;;;;;;;;;;4PK870;correia acessórios, v-ribbed belt;;yes
Bushing Aftermarket 50525 YADA;Via Peças;part;Mechanical;50525 YADA;;;10000.0;1;Today;Aftermarket;Various;;;;;;;;;;Generic Ref.;casquilho, bushing;;yes
Bushing Aftermarket 50526 YADA;Via Peças;part;Mechanical;50526 YADA;;;12000.0;1;Today;Aftermarket;Various;;;;;;;;;;Generic Ref.;casquilho, bushing;;yes
Bushing Aftermarket 50529 YADA;Via Peças;part;Mechanical;50529 YADA;;;14000.0;1;Today;Aftermarket;Various;;;;;;;;;;Generic Ref.;casquilho, bushing;;yes
Brake Disc Kia 51712-07500;Via Peças;part;Brakes;51712-07500;;;37800.0;1;Today;Kia;Picanto;2004;2011.0;1.0/1.1;;;;;;;Front;disco de travão, front brake disc;;yes
Brake Disc Hyundai/Kia 51712-1R000;Via Peças;part;Brakes;51712-1R000;;;49800.0;1;Today;Hyundai/Kia;Accent/Rio;2011;2017.0;1.4/1.6;;;;;;;Front;disco de travão, front brake disc;;yes
Brake Disc Hyundai 51712-3J000;Via Peças;part;Brakes;51712-3J000;;;49800.0;1;Today;Hyundai;Veracruz;2007;2012.0;3.8;;;;;;;Front;disco de travão, front brake disc;;yes
Brake Disc Hyundai/Kia 51712-3X000;Via Peças;part;Brakes;51712-3X000;;;42000.0;1;Today;Hyundai/Kia;Elantra/Cerato;2011;2016.0;1.6/1.8;;;;;;;Front;disco de travão, front brake disc;;yes
Brake Disc Hyundai 51712-4H000;Via Peças;part;Brakes;51712-4H000;;;45800.0;1;Today;Hyundai;H1 Starex;2008;2020.0;2.5 CRDi;;;;;;;Front;disco de travão, front brake disc;;yes
Wheel Bearing Front Hyundai 51720-02000;Via Peças;part;Mechanical;51720-02000;;;32500.0;1;Today;Hyundai;Atos/i10;1997;2013.0;Various;;;;;;;Front;rolamento roda diant, wheel bearing;;yes
Wheel Bearing Front Hyundai/Kia 51720-2H000;Via Peças;part;Mechanical;51720-2H000;;;36500.0;1;Today;Hyundai/Kia;i30/Ceed;2007;2012.0;Various;;;;;;;Front;rolamento roda diant, wheel bearing;;yes
Wheel Bearing Front Hyundai/Kia 51720-2S100;Via Peças;part;Mechanical;51720-2S100;;;16000.0;1;Today;Hyundai/Kia;Tucson/Sportage;2010;2015.0;Various;;;;;;;Front;rolamento roda diant, wheel bearing;;yes
Wheel Bearing Front Hyundai/Kia 51720-38110;Via Peças;part;Mechanical;51720-38110;;;16000.0;1;Today;Hyundai/Kia;Santa Fe/Sonata;2001;2010.0;Various;;;;;;;W/ ABS;rolamento roda diant, wheel bearing;;yes
Wheel Hub Front Hyundai 51750-0X000;Via Peças;part;Mechanical;51750-0X000;;;31200.0;1;Today;Hyundai;i10;2008;2013.0;1.1/1.2;;;;;;;Front Axle;cubo de roda diant, wheel hub front;;yes
Wheel Hub Front Hyundai/Kia 51750-1J000;Via Peças;part;Mechanical;51750-1J000;;;32500.0;1;Today;Hyundai/Kia;i20/Rio;2008;2015.0;Various;;;;;;;Front Axle;cubo de roda diant, wheel hub front;;yes
Wheel Bearing Rear Hyundai/Kia 52710-2E500;Via Peças;part;Mechanical;52710-2E500;;;29800.0;1;Today;Hyundai/Kia;Tucson/Sportage;2004;2010.0;2WD;;;;;;;Rear;rolamento roda tras, wheel bearing rear;;yes
Hub Wheel Rear Hyundai/Kia 52730-3S200;Via Peças;part;Mechanical;52730-3S200;;;62500.0;1;Today;Hyundai/Kia;Sonata/Optima;2010;2014.0;Various;;;;;;;Rear Axle;cubo roda tras, wheel hub rear;;yes
Hub Wheel Rear Hyundai/Kia 52750-1G000;Via Peças;part;Mechanical;52750-1G000;;;45800.0;1;Today;Hyundai/Kia;Accent/Rio;2005;2011.0;Various;;;;;;;Rear Axle;cubo roda tras, wheel hub rear;;yes
Arm Suspension Front Renault 54500-0138R;Via Peças;part;Suspension;54500-0138R;;;42500.0;1;Today;Renault;Logan/Sandero;2007;2014.0;Various;;;;;;;Right;braço suspensão diant, control arm front;;yes
Arm Suspension Front Kia 54500-07160;Via Peças;part;Suspension;54500-07160;;;42800.0;1;Today;Kia;Picanto;2004;2011.0;1.0/1.1;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Hyundai 54500-1J700;Via Peças;part;Suspension;54500-1J700;;;43800.0;1;Today;Hyundai;i20;2012;2014.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Hyundai/Kia 54500-1R000;Via Peças;part;Suspension;54500-1R000;;;43500.0;1;Today;Hyundai/Kia;Accent/Rio;2011;2017.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Kia 54500-1W000;Via Peças;part;Suspension;54500-1W000;;;48500.0;1;Today;Kia;Rio;2011;2017.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Kia 54500-1Y000;Via Peças;part;Suspension;54500-1Y000;;;39900.0;1;Today;Kia;Picanto;2011;2017.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Hyundai 54500-2B000;Via Peças;part;Suspension;54500-2B000;;;48500.0;1;Today;Hyundai;Santa Fe;2006;2012.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Hyundai/Kia 54500-2E000;Via Peças;part;Suspension;54500-2E000;;;45500.0;1;Today;Hyundai/Kia;Tucson/Sportage;2004;2010.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Kia 54500-2K500;Via Peças;part;Suspension;54500-2K500;;;43500.0;1;Today;Kia;Soul;2008;2013.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Arm Suspension Front Kia 54500-2P000;Via Peças;part;Suspension;54500-2P000;;;46500.0;1;Today;Kia;Sorento;2009;2014.0;Various;;;;;;;Right Side;braço suspensão diant, control arm front;;yes
Lower Control Arm (R) Hyundai/Kia 54500-2S000;Via Peças;part;Suspension;54500-2S000;;;43500.0;1;Today;Hyundai/Kia;ix35/Sportage;2010;2015.0;Various;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai 54500-2W000;Via Peças;part;Suspension;54500-2W000;;;42500.0;1;Today;Hyundai;Santa Fe;2013;2018.0;2.0/2.2;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai 54500-3J000;Via Peças;part;Suspension;54500-3J000;;;49800.0;1;Today;Hyundai;Veracruz/ix55;2007;2012.0;3.8/3.0;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai/Kia 54500-3S000;Via Peças;part;Suspension;54500-3S000;;;46500.0;1;Today;Hyundai/Kia;Sonata/Optima;2011;2014.0;2.0/2.4;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai 54500-4H000;Via Peças;part;Suspension;54500-4H000;;;51500.0;1;Today;Hyundai;H1 Starex;2008;2020.0;2.5 CRDi;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Kia 54500-A7000;Via Peças;part;Suspension;54500-A7000;;;45500.0;1;Today;Kia;Cerato/Forte;2013;2018.0;1.6/2.0;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Kia 54500-B2000;Via Peças;part;Suspension;54500-B2000;;;44500.0;1;Today;Kia;Soul;2014;2019.0;1.6;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai 54500-B4000;Via Peças;part;Suspension;54500-B4000;;;38900.0;1;Today;Hyundai;i10 (IA);2014;2019.0;1.0/1.2;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai 54500-C1000;Via Peças;part;Suspension;54500-C1000;;;42500.0;1;Today;Hyundai;Sonata (LF);2015;2019.0;2.0/2.4;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Kia 54500-C5000;Via Peças;part;Suspension;54500-C5000;;;42500.0;1;Today;Kia;Sorento (UM);2015;2020.0;2.2/2.4;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai/Kia 54500-D3000;Via Peças;part;Suspension;54500-D3000;;;54500.0;1;Today;Hyundai/Kia;Tucson/Sportage;2015;2020.0;1.6/2.0;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai 54500-D7000;Via Peças;part;Suspension;54500-D7000;;;45500.0;1;Today;Hyundai;Santa Fe;2018;2023.0;2.0/2.2;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (R) Hyundai 54500-F2000;Via Peças;part;Suspension;54500-F2000;;;42500.0;1;Today;Hyundai;Elantra (AD);2016;2020.0;2.0;;;;;;;Right;braço suspensão inf (d), lower control arm (r);;yes
Lower Control Arm (L) Kia 54501-07160;Via Peças;part;Suspension;54501-07160;;;42800.0;1;Today;Kia;Picanto;2004;2011.0;1.0/1.1;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Renault 54501-1697R;Via Peças;part;Suspension;54501-1697R;;;42500.0;1;Today;Renault;Duster/Oroch;2011;2020.0;Various;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Hyundai 54501-1J700;Via Peças;part;Suspension;54501-1J700;;;43800.0;1;Today;Hyundai;i20;2012;2014.0;Various;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Hyundai/Kia 54501-1R000;Via Peças;part;Suspension;54501-1R000;;;43500.0;1;Today;Hyundai/Kia;Accent/Rio;2011;2017.0;1.4/1.6;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Kia 54501-1W000;Via Peças;part;Suspension;54501-1W000;;;48500.0;1;Today;Kia;Rio;2011;2017.0;Various;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Kia 54501-1Y000;Via Peças;part;Suspension;54501-1Y000;;;39900.0;1;Today;Kia;Picanto;2011;2017.0;1.0/1.2;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Hyundai 54501-2B000;Via Peças;part;Suspension;54501-2B000;;;48500.0;1;Today;Hyundai;Santa Fe;2006;2012.0;2.7/3.3;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Hyundai/Kia 54501-2E000;Via Peças;part;Suspension;54501-2E000;;;45500.0;1;Today;Hyundai/Kia;Tucson/Sportage;2004;2010.0;2.0;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Kia 54501-2K500;Via Peças;part;Suspension;54501-2K500;;;43500.0;1;Today;Kia;Soul;2008;2013.0;1.6/2.0;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
Lower Control Arm (L) Kia 54501-2P000;Via Peças;part;Suspension;54501-2P000;;;46500.0;1;Today;Kia;Sorento;2009;2014.0;2.2/2.4;;;;;;;Left;braço suspensão inf (e), lower control arm (l);;yes
